,Country,Anomaly,Unc.
0,Afghanistan,-0.155,0.205
1,Albania,0.377,0.184
2,Algeria,0.14400000000000002,0.209
3,Andorra,0.18100000000000002,0.23800000000000002
4,Angola,-0.013000000000000001,0.147
5,Anguilla,0.022000000000000002,0.165
6,Antarctica,-0.8220000000000001,0.434
7,Antigua and Barb,0.015,0.161
8,Argentina,-0.023,0.204
9,Armenia,0.998,0.195
10,Aruba,0.10800000000000001,0.218
11,Australia,0.114,0.18899999999999997
12,Austria,-0.6679999999999999,0.19899999999999998
13,Azerbaijan,0.997,0.239
14,Bahamas,-0.073,0.165
15,Bahrain,0.451,0.466
16,Bangladesh,-0.327,0.20199999999999999
17,Barbados,0.139,0.204
18,Belarus,-0.081,0.111
19,Belgium,-0.873,0.17600000000000002
20,Belize,-0.11199999999999999,0.265
21,Benin,-0.226,0.16699999999999998
22,Bhutan,-0.456,0.239
23,Bolivia,-0.226,0.121
24,Bosnia and Herz,-0.184,0.145
25,Botswana,0.249,0.13699999999999998
26,Brazil,-0.138,0.127
27,British Virgin Is,0.0,0.163
28,Bulgaria,0.466,0.168
29,Burkina Faso,-0.235,0.16899999999999998
30,Burma,-0.11199999999999999,0.16399999999999998
31,Burundi,-0.275,0.076
32,Cambodia,-0.115,0.049
33,Cameroon,-0.182,0.195
34,Canada,-0.102,0.174
35,Cayman Is,0.012,0.23
36,Central African Rep,-0.386,0.214
37,Chad,-0.42700000000000005,0.42700000000000005
38,Chile,0.161,0.141
39,China,-0.154,0.138
40,Colombia,-0.067,0.168
41,Comoros,-0.063,0.22
42,Congo,0.004,0.19399999999999998
43,Costa Rica,-0.17,0.32
44,Croatia,-0.397,0.12
45,Cuba,0.019,0.23800000000000002
46,Curaçao,0.047,0.149
47,Cyprus,0.722,0.183
48,Czechia,-0.618,0.163
49,Côte d'Ivoire,-0.043,0.14800000000000002
50,Dem. Rep. Congo,-0.121,0.18
51,Denmark,-0.6,0.15
52,Djibouti,-0.193,0.326
53,Dominica,0.10099999999999999,0.209
54,Dominican Rep,-0.059000000000000004,0.174
55,Ecuador,-0.19,0.183
56,Egypt,0.5760000000000001,0.141
57,El Salvador,-0.32899999999999996,0.18100000000000002
58,Eq. Guinea,-0.073,0.129
59,Eritrea,-0.062,0.17800000000000002
60,Estonia,-0.147,0.141
61,Ethiopia,-0.3,0.228
62,Faeroe Is,-0.518,0.278
63,Falkland Is,0.439,0.725
64,Fiji,-0.061,0.11900000000000001
65,Finland,-0.313,0.13699999999999998
66,Fr. Polynesia,-0.145,0.25
67,Fr. S. Antarctic Lands,-0.036000000000000004,0.223
68,France,-0.308,0.15
69,French Guiana,0.06,0.168
70,Gabon,-0.079,0.17300000000000001
71,Gambia,0.11199999999999999,0.278
72,Gaza Strip,0.857,0.195
73,Georgia,1.193,0.14800000000000002
74,Germany,-0.7559999999999999,0.142
75,Ghana,-0.179,0.158
76,Greece,0.555,0.195
77,Greenland,0.9329999999999999,0.405
78,Guadeloupe,0.075,0.16
79,Guam,0.021,0.332
80,Guatemala,-0.205,0.126
81,Guernsey,-0.556,0.20199999999999999
82,Guinea,-0.129,0.239
83,Guinea-Bissau,-0.013000000000000001,0.32
84,Guyana,-0.085,0.192
85,Haiti,-0.07400000000000001,0.26
86,Heard I. and McDonald Is,-0.23199999999999998,0.27899999999999997
87,Honduras,-0.247,0.15
88,Hong Kong,-0.019,0.209
89,Hungary,-0.41200000000000003,0.16399999999999998
90,Iceland,-0.187,0.145
91,India,-0.525,0.113
92,Indonesia,-0.096,0.14800000000000002
93,Iran,0.226,0.22699999999999998
94,Iraq,0.9690000000000001,0.139
95,Ireland,-0.67,0.13
96,Isle of Man,-0.7859999999999999,0.162
97,Israel,0.787,0.213
98,Italy,0.045,0.139
99,Jamaica,-0.11199999999999999,0.335
100,Japan,0.188,0.132
101,Jersey,-0.556,0.20199999999999999
102,Jordan,0.935,0.278
103,Kazakhstan,1.285,0.092
104,Kenya,-0.258,0.17800000000000002
105,Kuwait,0.7,0.23399999999999999
106,Kyrgyzstan,0.177,0.135
107,Laos,-0.134,0.10300000000000001
108,Latvia,-0.249,0.132
109,Lebanon,0.882,0.166
110,Lesotho,0.26899999999999996,0.152
111,Liberia,-0.13,0.16
112,Libya,0.163,0.391
113,Liechtenstein,-0.527,0.15
114,Lithuania,-0.385,0.146
115,Luxembourg,-0.835,0.146
116,Macao,0.033,0.27899999999999997
117,Macedonia,0.337,0.21600000000000003
118,Madagascar,-0.061,0.19399999999999998
119,Malawi,-0.159,0.152
120,Malaysia,-0.124,0.12
121,Mali,-0.059000000000000004,0.15
122,Malta,0.363,0.215
123,Martinique,0.084,0.16699999999999998
124,Mauritania,0.265,0.193
125,Mauritius,-0.33299999999999996,0.171
126,Mayotte,-0.016,0.21899999999999997
127,Mexico,0.27399999999999997,0.12
128,Moldova,0.37200000000000005,0.14
129,Mongolia,-0.063,0.16899999999999998
130,Montenegro,0.192,0.196
131,Montserrat,0.073,0.159
132,Morocco,0.45,0.233
133,Mozambique,0.006,0.205
134,Namibia,0.13699999999999998,0.324
135,Nepal,-0.521,0.285
136,Netherlands,-0.895,0.166
137,New Caledonia,0.09699999999999999,0.24100000000000002
138,New Zealand,0.622,0.11699999999999999
139,Nicaragua,-0.223,0.254
140,Niger,-0.254,0.48700000000000004
141,Nigeria,-0.24100000000000002,0.2
142,Niue,-0.203,0.268
143,North Korea,-0.031,0.11599999999999999
144,Norway,-0.794,0.20600000000000002
145,Oman,0.013999999999999999,0.312
146,Pakistan,-0.235,0.18
147,Palau,-0.13699999999999998,0.40299999999999997
148,Palestine,0.341,0.16399999999999998
149,Panama,-0.07400000000000001,0.255
150,Papua New Guinea,0.027000000000000003,0.302
151,Paraguay,-0.6459999999999999,0.228
152,Peru,-0.16699999999999998,0.126
153,Philippines,-0.11900000000000001,0.098
154,Poland,-0.5539999999999999,0.14
155,Portugal,0.428,0.19699999999999998
156,Puerto Rico,-0.066,0.131
157,Qatar,0.19899999999999998,0.703
158,Reunion,-0.252,0.344
159,Romania,0.18100000000000002,0.159
160,Russia,1.022,0.153
161,Rwanda,-0.192,0.091
162,S. Geo. and the Is,0.364,0.866
163,Saint Lucia,0.135,0.21600000000000003
164,Samoa,0.019,0.145
165,San Marino,-0.17,0.22
166,Saudi Arabia,0.457,0.191
167,Senegal,0.10800000000000001,0.276
168,Serbia,0.032,0.233
169,Seychelles,0.085,0.271
170,Sierra Leone,-0.155,0.14300000000000002
171,Singapore,-0.193,0.153
172,Slovakia,-0.542,0.179
173,Slovenia,-0.609,0.19399999999999998
174,Solomon Is,0.085,0.20600000000000002
175,Somalia,-0.166,0.21
176,South Africa,0.267,0.172
177,South Korea,-0.059000000000000004,0.155
178,Spain,0.413,0.11900000000000001
179,Sri Lanka,-0.14300000000000002,0.209
180,St. Pierre and Miquelon,-0.133,0.21600000000000003
181,St. Vin. and Gren,0.131,0.22699999999999998
182,Sudan,0.033,0.12
183,Suriname,-0.027999999999999997,0.17
184,Svalbard and Jan Mayen,-1.0979999999999999,0.5870000000000001
185,Swaziland,0.33799999999999997,0.159
186,Sweden,-0.69,0.142
187,Switzerland,-0.33,0.128
188,Syria,1.077,0.16899999999999998
189,São Tomé and Principe,-0.071,0.17300000000000001
190,Taiwan,-0.154,0.146
191,Tajikistan,-0.156,0.133
192,Tanzania,-0.174,0.263
193,Thailand,-0.1,0.13
194,Timor-Leste,-0.011000000000000001,0.21899999999999997
195,Togo,-0.192,0.168
196,Tonga,-0.121,0.154
197,Trinidad and Tobago,0.128,0.317
198,Tunisia,0.20800000000000002,0.249
199,Turkey,1.128,0.146
200,Turkmenistan,0.385,0.13
201,Turks and Caicos Is,-0.141,0.2
202,U.S. Virgin Is,-0.017,0.156
203,Uganda,-0.309,0.139
204,Ukraine,0.456,0.12300000000000001
205,United Arab Emirates,0.136,0.505
206,United Kingdom,-0.736,0.13699999999999998
207,United States,-0.019,0.174
208,Uruguay,-0.433,0.13
209,Uzbekistan,0.495,0.132
210,Venezuela,0.023,0.191
211,Vietnam,-0.152,0.113
212,W. Sahara,0.45899999999999996,0.239
213,Yemen,-0.10099999999999999,0.267
214,Zambia,-0.161,0.163
215,Zimbabwe,0.217,0.156
216,Åland,-0.609,0.084
